blink_freq,ch1,ch2,ch3,ch4,timestamp
12.0,-51.4311041906476,-90.13532883208245,-137.86019216664135,-120.31258157454431,1684227241.5782125
12.0,-22.458099233917892,-50.32409380376339,-77.98813377600163,-61.92152356635779,1684227241.5782125
12.0,-6.066117728129029,-14.933420523069799,-30.790596335195005,-16.317183506675065,1684227241.5929668
12.0,-36.434105368331075,-71.67892255075276,-110.30086939316243,-112.55976896639913,1684227241.5929668
12.0,-48.62243932392448,-107.91481322143227,-161.21212748996913,-167.36052301712334,1684227241.5930953
12.0,-12.0424778573215,-38.53218924347311,-55.22336274571717,-61.52509417105466,1684227241.5930953
12.0,0.24683339707553387,-8.983239693567157,-21.586702544242144,-5.176021538674831,1684227241.607345
12.0,-39.40358593314886,-77.1466562859714,-112.3503345688805,-116.1650325236842,1684227241.607345
12.0,-53.4693496664986,-100.21809911262244,-133.97069621272385,-163.8524968586862,1684227241.622298
12.0,-0.3104116963222623,-29.4217929514125,-38.66682564187795,-51.730296187102795,1684227241.622298
12.0,6.197014226578176,-11.619869162328541,-28.22502496559173,-10.228626378811896,1684227241.6236975
12.0,-24.387887611053884,-61.98884176556021,-79.26343966089189,-108.64783361274749,1684227241.6236975
12.0,-33.3486879048869,-88.69920724909753,-116.37446692120284,-165.5279720388353,1684227241.6368315
12.0,-3.867056554183364,-35.0166832851246,-62.561046458780766,-56.24435543362051,1684227241.6368315
12.0,-11.159861467778683,-29.578868749551475,-65.68760282173753,-21.919553640298545,1684227241.6525753
12.0,-49.740669410675764,-93.35912259388715,-134.36712560802698,-129.4678566660732,1684227241.6525753
12.0,-61.97014226578176,-106.94617913290858,-126.13934570550919,-172.6749208541587,1684227241.6532276
12.0,-26.485971486195922,-39.34000763390213,-22.663793731480837,-67.11624460481107,1684227241.6532276
12.0,-26.048403191380203,-32.61192761361599,-52.00330888386816,-29.298376252874732,1684227241.6670327
12.0,-84.08791060373187,-124.99493631906807,-187.3802074799314,-149.5922583276406,1684227241.6670327
12.0,-81.9673873288557,-131.7342360392213,-167.46150031592697,-184.35836831573397,1684227241.682593
12.0,-29.32081565260887,-41.87939970381558,-46.909565144218504,-57.42242391966283,1684227241.682593
12.0,-17.106302397325635,-13.052250845357776,-25.670673295855522,-10.168787979520857,1684227241.6832488
12.0,-55.07376674748957,-78.82961126603186,-112.0922814719379,-110.88803368620574,1684227241.6832488
12.0,-62.557306558825076,-107.36130802799016,-141.09146572835743,-159.1140436148271,1684227241.6970809
12.0,-14.551950727589428,-38.6481261420995,-43.40901878569275,-58.177883710712194,1684227241.6970809
12.0,-5.8940823301672935,-11.316937265917659,-10.535298175178468,-6.4176683239638805,1684227241.7122698
12.0,-48.32698722742498,-79.77580595482141,-102.02073089126498,-117.36554040946066,1684227241.7122698
12.0,-71.3685108544305,-122.7248170459643,-170.46463998034596,-180.2669177642092,1684227241.7129889
12.0,-21.994351639412344,-40.73873021733016,-45.38742586225271,-64.70400913339108,1684227241.7129889
12.0,-10.180007679387927,-17.31573679484427,-26.396213887259364,-13.138268544338644,1684227241.7271261
12.0,-59.96555588953197,-96.17900716047734,-135.64243149291724,-128.89939187280834,1684227241.7271261
12.0,-72.55031924042851,-122.9080721437931,-154.6710424674675,-177.16654070094228,1684227241.7425811
12.0,-20.1580607611686,-30.390427039936185,-23.924140016548336,-56.36777213215828,1684227241.7425811
12.0,-30.704578636214137,-34.18268559500575,-49.49383601360023,-32.49973061494529,1684227241.7431424
12.0,-77.30747198406607,-112.40643306821585,-155.557398756966,-138.8475257549435,1684227241.7431424
12.0,-79.74588675517589,-125.94487090781331,-158.21272772550583,-179.70967267081141,1684227241.7569804
12.0,-20.015944562852383,-34.276183093898,-3.6464024567976594,-54.04155435971916,1684227241.7569804
12.0,-23.71844551898539,-32.50721041485667,-60.70979598071426,-12.730619449168444,1684227241.7722733
12.0,-70.71028846222907,-98.50522493291646,-137.89011136628687,-121.96935725491494,1684227241.7722733
12.0,-80.51630614604801,-125.27168891578913,-157.47222753427923,-187.17451298236847,1684227241.773018
12.0,-33.157953007146716,-52.070627083070576,-51.700376987457275,-68.98619458265603,1684227241.773018
12.0,-21.096775650046766,-23.161200425587595,-28.61397456098348,-11.795644460245967,1684227241.786958
12.0,-61.50265477132052,-98.78197752963752,-139.2102960506454,-131.44626374263316,1684227241.786958
12.0,-72.75601373799145,-128.48800287768245,-167.44280081614852,-179.7171524707228,1684227241.8025944
12.0,-32.60070791374892,-60.41434388421476,-76.09948429837823,-70.26524036750197,1684227241.8025944
12.0,-18.94259327556938,-25.34904189966619,-26.50093108601868,-19.099669073708355,1684227241.803032
12.0,-52.29876098036766,-83.83359740674496,-108.78247001115233,-126.51333570107818,1684227241.803032
12.0,-47.03298184275627,-91.03290482144803,-112.57846846617758,-155.47512095794082,1684227241.816964
12.0,-14.989519022405148,-34.69879178889096,-45.91849165596068,-59.03432080056518,1684227241.816964
12.0,-21.590442444197834,-29.930419345386326,-47.672504735179245,-21.078076150268316,1684227241.8322978
12.0,-64.81246623210609,-102.67147348355502,-146.31610596645623,-129.00410907156765,1684227241.8322978
12.0,-72.72235463839024,-126.23658310435712,-171.2275795713067,-177.70508629456162,1684227241.833011
12.0,-31.261823729611933,-54.85311265010387,-69.2180683799088,-65.95313571859151,1684227241.833011
12.0,-24.96383220423013,-34.95310498587787,-38.390073045156896,-25.435059598647058,1684227241.8470657
12.0,-50.99353589583188,-83.16789521463215,-106.72552503552288,-122.53034224826843,1684227241.8470657
12.0,-54.105132658965886,-106.25429764110595,-132.81132722645998,-169.1893340954557,1684227241.862285
12.0,-27.02077717985958,-58.72764900419861,-78.44066167064011,-74.01636002305895,1684227241.862285
12.0,-1.406202383339405,-10.325863777659833,-22.226225436665118,-6.511165822856128,1684227241.8630607
12.0,-38.91365903895348,-75.23182750865817,-113.70043845288455,-108.45335881505162,1684227241.8630607
12.0,-55.15230464655906,-108.32246231660247,-138.9148439541459,-178.3483490869403,1684227241.8767493
12.0,-13.235505943186581,-42.874213092029095,-69.37888407800347,-64.77506723254919,1684227241.8767493
12.0,-5.718307032249868,-17.065163497813046,-24.9002539049834,-15.842216212302446,1684227241.8926117
12.0,-59.43822999577969,-95.75265856552869,-141.37569812498987,-129.66233146376908,1684227241.8926117
12.0,-57.54210071824491,-110.5701421899721,-147.06408595759422,-172.7908577527851,1684227241.8933904
12.0,-20.96587915159762,-42.30574829876423,-45.656698659062386,-64.26644083857536,1684227241.8933904
12.0,-17.136221596971154,-29.163739854469895,-35.78710267599672,-18.228272384032607,1684227241.90689
12.0,-58.80992680322379,-97.69366664253175,-119.0933741889894,-132.7701883269474,1684227241.90689
12.0,-47.57152743637562,-88.25415915437043,-65.18645622767508,-170.40854148101062,1684227241.9222844
12.0,-9.402108488604426,-35.00920348521322,-47.59022693615407,-50.900038396939635,1684227241.9222844
12.0,-19.529757568612695,-29.590088449418545,-42.52640239614993,-25.195706001482904,1684227241.9230635
12.0,-67.11998450476676,-110.91047308593988,-174.64958803076297,-144.48355498816818,1684227241.9230635
12.0,-59.789780591614544,-119.92737187910825,-171.65018826629966,-173.59119634330273,1684227241.936983
12.0,-19.974805663339794,-50.477429701946676,-71.2937128553167,-57.61689871735871,1684227241.936983
12.0,-11.844263159669936,-26.92353978101164,-46.838507045060396,-15.565463615581393,1684227241.9527216
12.0,-49.05252781882882,-82.34885712433606,-117.93026530276984,-116.81577511597425,1684227241.9527216
12.0,-47.0591611424461,-95.02711797412485,-111.35926108062267,-160.65114249661565,1684227241.953055
12.0,-8.384855700656772,-36.52760286722332,-59.70002299267799,-55.19344354607165,1684227241.953055
12.0,-2.1467025745660067,-13.942347034811974,-22.263624436222017,-11.436614064499736,1684227241.9668872
12.0,-36.20597147103399,-80.95387444086373,-121.85716025624424,-125.49608291313052,1684227241.9668872
12.0,-47.86697953287512,-108.15042691864073,-155.38536335900426,-163.5981836616993,1684227241.982355
12.0,-14.735205825418234,-42.28330889903009,-56.184517034329474,-61.341839073225856,1684227241.982355
12.0,-2.4010157715529203,-12.89143514726311,-30.083755243569613,-12.4875259520486,1684227241.9830396
12.0,-44.9835166670382,-90.89826842304319,-130.00640225969255,-124.0599613301456,1684227241.9830396
12.0,-57.13071172311902,-111.680892476812,-139.98071544151753,-168.9724198980257,1684227241.997
12.0,-13.897468235343695,-40.29368212260306,-45.85117345675826,-56.902577825821936,1684227241.997
12.0,1.4136821832507849,-0.5609849933534861,1.245386685244739,5.942701029591262,1684227242.0126317
12.0,-56.188256934285164,-93.72937268950045,-136.42781048361212,-130.40283165499568,1684227242.0126317
12.0,-63.47732194792479,-120.11062697693706,-157.10197743866593,-176.3101036110893,1684227242.013167
12.0,-19.69431316666305,-39.80375522840768,-41.04166211374104,-61.31191987358034,1684227242.013167
12.0,8.497052699327469,12.782978048548102,56.46874943096191,2.2289803735911846,1684227242.042978
12.0,-51.9883492840454,-86.55250467453152,-124.0599613301456,-125.69429761078209,1684227242.042978
12.0,-78.31350507214665,-139.96201594173908,-197.54525555949658,-190.31976884510368,1684227242.044042
12.0,-31.00751053262502,-66.75347430910915,-96.32860315870494,-69.69677557423711,1684227242.044042
12.0,-22.06914963852614,-32.54460941441357,-52.23144278116524,-11.739545960910618,1684227242.0444434
12.0,-62.987395053729415,-98.99889172706753,-124.19833762850612,-135.11136569920927,1684227242.0444434
12.0,-69.19188908021897,-120.66787207033485,-145.98325487039983,-172.55150415562093,1684227242.0573328
