blink_freq,ch1,ch2,ch3,ch4,timestamp
10.0,-63.27536735031754,-129.63615216407925,-157.2553133368492,-258.58042283635587,1684226388.3250206
10.0,-32.92981910984963,-52.900884873233736,-38.808941840194166,-122.55652154795825,1684226388.3250206
10.0,-16.52287800423801,-17.005325098522007,-7.139469015412033,-43.50999608449638,1684226388.3390036
10.0,-47.54534813668579,-90.05305103305727,-128.60019987635314,-139.15793745126575,1684226388.3390036
10.0,-54.494082254357636,-110.28964969329536,-147.13514405675232,-196.18019207566977,1684226388.35465
10.0,-24.92643320467323,-50.56718730088323,-57.42616381961852,-122.0217158542946,1684226388.35465
10.0,-23.142500925809145,-25.637014196254313,-25.435059598647058,-52.463316578418016,1684226388.3553827
10.0,-46.894605544395745,-87.40520186442882,-108.68897251226008,-155.93138875253499,1684226388.3553827
10.0,-52.77372827474028,-113.78271625190973,-142.75572120863944,-215.75856834370643,1684226388.368902
10.0,-18.96877257525921,-42.862993392162025,-47.54908803664148,-96.53429765626788,1684226388.368902
10.0,-12.809157348237932,-8.04452480468899,-5.546271634288132,-21.496944945305586,1684226388.3851912
10.0,-45.52206226065755,-82.33015762455761,-105.6783530479297,-148.39175044186413,1684226388.3851912
10.0,-57.13071172311902,-119.54590208362788,-133.86971891392022,-228.4742281930521,1684226388.3854496
10.0,-38.52844934351742,-57.49722191877663,-53.96301646064967,-114.47459774371237,1684226388.3854496
10.0,-19.75415156595409,-12.027518257498741,12.07239705696702,-25.240584800951183,1684226388.3988025
10.0,-41.48297030851245,-73.08886483404785,-88.20180055499077,-133.88841841369867,1684226388.3988025
10.0,-62.27307416219264,-129.67729106359184,-153.01800668705255,-228.39195039402694,1684226388.4146273
10.0,-35.52156977914274,-66.95168900676072,-71.53306645248085,-119.12329338863492,1684226388.4146273
10.0,-28.666333160363138,-37.47753745596856,-45.694097658619285,-57.82633311487734,1684226388.4160826
10.0,-64.19164283946157,-112.76920336391777,-154.34567117132246,-180.37163496296853,1684226388.4160826
10.0,-57.26908802147955,-129.6137127643451,-161.12610979098827,-219.56952639855444,1684226388.4288723
10.0,-28.62893416080624,-56.580946429632604,-54.60253935307264,-111.83422837499529,1684226388.4288723
